time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
2610,5,7,6,10,4,18,8,9,7,10,8,16,6,12,4,10,6,18,4,9,7,10
2620,3,7,5,6,4,13,9,19,4,5,3,13,11,10,8,15,4,12,5,9,9,18
2630,4,7,8,14,4,11,7,13,7,12,7,13,5,8,6,8,8,18,4,12,9,13
2640,4,6,7,16,7,10,5,12,5,16,6,11,6,10,8,11,3,13,6,14,8,13
2650,3,6,6,11,8,12,4,11,7,11,3,10,9,16,6,10,4,12,8,14,6,9
2660,5,6,4,12,12,17,2,7,3,8,10,18,6,13,5,9,6,8,7,15,5,12
2670,4,3,3,13,12,17,3,8,6,12,7,16,8,9,2,14,2,5,7,14,6,14
2680,5,10,7,14,5,15,4,6,13,18,3,9,4,10,9,16,7,9,2,11,7,12
2690,1,4,8,12,8,17,5,14,6,12,5,7,5,15,7,10,4,12,6,9,7,18
2700,3,9,7,11,5,15,9,14,3,12,5,9,8,12,6,10,10,16,0,10,6,13
2710,4,11,8,15,5,9,3,12,9,10,3,15,7,5,5,15,7,11,7,10,5,16
2720,4,7,6,14,7,13,3,11,5,12,9,15,8,12,6,13,2,8,8,11,4,12
2730,3,7,7,13,10,16,4,8,5,12,7,11,6,12,5,12,8,14,5,10,6,14
2740,3,7,9,11,3,12,6,12,5,8,5,12,6,12,7,11,6,14,4,9,7,11
2750,4,11,9,12,3,13,6,9,6,15,8,12,7,12,2,9,11,16,3,8,7,13
2760,3,7,10,13,6,20,8,12,3,7,10,18,7,16,4,9,8,13,7,10,2,12
