time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
2460,4,8,3,11,7,12,8,11,4,12,8,13,5,12,5,7,7,16,5,11,2,8
2470,5,10,5,10,7,14,7,15,4,10,4,7,8,15,4,11,7,15,6,13,6,13
2480,3,8,7,12,5,9,6,14,4,8,3,10,11,14,4,16,5,6,3,11,11,16
2490,2,2,6,10,8,14,2,11,8,12,7,13,6,12,7,11,4,15,7,13,8,11
2500,3,3,7,18,7,9,5,12,5,10,9,14,3,11,8,12,5,11,7,9,3,11
2510,1,3,8,14,8,10,3,14,7,9,4,12,7,12,7,12,5,13,5,12,7,14
2520,3,4,3,16,9,11,3,10,7,13,7,14,5,12,6,14,5,10,7,16,4,7
2530,3,9,6,9,5,14,8,9,3,13,6,10,8,16,3,8,8,14,5,16,6,8
2540,4,13,8,13,6,10,7,13,8,13,6,14,3,9,11,16,7,11,2,10,9,15
2550,8,14,4,12,4,8,8,18,8,13,4,10,5,9,7,15,9,12,3,12,8,11
2560,1,7,8,17,6,12,7,7,7,17,6,12,3,8,7,10,8,13,4,12,6,7
2570,3,7,7,11,4,9,7,11,7,14,5,9,5,12,10,12,2,8,3,12,9,15
2580,3,5,6,12,6,11,9,14,4,13,3,7,6,10,9,23,5,8,4,9,7,16
2590,2,3,5,11,10,14,6,13,4,11,7,11,8,17,5,7,5,11,5,11,4,12
2600,5,7,6,10,8,15,3,10,6,13,7,11,6,14,7,12,3,11,8,10,6,16
2610,5,10,8,12,5,8,7,11,7,14,6,14,4,8,6,14,6,9,7,10,3,14
2620,4,6,6,11,6,12,7,9,2,11,7,11,5,12,9,19,6,9,6,13,5,11
2630,6,9,7,13,7,13,6,13,7,12,6,8,5,13,3,9,7,13,8,13,4,12
