Rg,Ree
0.98855,2.689
0.99739,2.682
0.995357,3.166
0.994142,3.229
0.844741,1.244
0.856798,1.262
0.863586,1.301
0.755744,1.655
0.939989,2.132
0.960368,2.343
0.959297,2.301
0.965754,2.569
0.972497,2.558
0.998375,2.708
1.01161,2.785
1.01939,2.933
1.00741,2.937
0.997677,2.904
0.753827,1.928
0.755836,1.901
1.04233,3.278
1.03419,3.265
1.04953,3.445
0.965627,2.129
1.06528,3.508
1.06731,3.535
0.929933,1.983
0.920025,1.962
0.834885,1.569
0.828839,1.548
0.821352,1.63
0.835039,1.646
0.822824,1.583
0.812373,1.545
0.80913,1.6
0.82633,1.667
0.805183,1.556
0.821113,1.606
1.06392,2.909
0.800166,1.45
1.06195,2.966
0.807781,1.366
0.795178,1.276
0.869897,1.173
0.971784,2.354
0.865021,1.168
0.85864,1.148
0.778095,1.146
0.8712,1.053
0.872967,1.004
0.885644,0.982
0.870546,0.98
0.769739,1.224
0.783263,1.153
0.778121,1.225
0.789825,1.177
0.803805,1.213
0.802797,1.26
0.858429,1.108
0.857475,1.122
0.852019,1.172
0.969523,2.325
0.980523,2.362
0.863449,1.315
1.13433,2.987
1.03315,2.693
1.01984,2.529
0.768338,1.146
0.762248,1.211
0.849512,2.358
0.770814,1.135
0.759054,1.088
1.13229,3.034
0.981442,2.402
0.972862,2.389
0.954061,2.18
1.06448,2.971
0.844548,1.233
0.864573,1.278
0.869811,1.234
0.873343,1.25
1.01125,2.723
1.03158,2.828
0.867668,1.099
0.838256,1.076
0.838669,2.323
0.85564,1.159
0.865753,1.196
0.845867,2.359
0.856997,1.088
0.858387,1.167
0.840486,1.184
0.826359,1.151
0.852558,1.109
0.841413,1.023
0.858758,1.022
0.845312,1.123
0.837996,1.07
0.851792,1.144
0.864627,2.687
0.849318,2.581
0.839838,2.569
0.849113,2.626
0.864428,2.681
0.862278,2.689
0.848423,2.638
0.832339,2.526
0.859487,2.684
1.01051,2.63
1.05573,2.961
1.0636,2.914
1.04147,2.889
0.88131,2.561
0.882684,2.651
0.891437,2.692
0.872386,2.57
0.875175,2.658
1.08617,2.916
1.08908,3.033
0.852495,2.555
0.839992,2.435
0.839424,2.454
0.857459,2.388
0.86383,2.619
1.02446,2.917
1.0471,3.076
1.04725,3.303
1.04655,3.305
1.04374,3.207
1.02689,3.167
1.08952,3.571
0.854883,2.595
0.854227,2.636
0.849691,2.652
0.853639,2.722
0.841998,2.69
0.838469,2.659
0.840725,2.618
0.839823,2.593
0.822031,2.553
0.783629,1.498
0.778009,1.487
0.763346,1.232
0.746161,1.227
0.734845,1.37
1.2805,3.783
0.729545,1.934
1.11215,3.221
1.12103,3.324
1.14615,3.489
1.13507,3.473
1.23239,3.643
1.25143,3.771
1.29607,3.605
1.2799,3.656
0.854584,0.986
