Rg,Ree
0.876785,1.895
0.885932,2.053
0.884652,2.285
0.876928,2.084
0.892051,2.072
1.53893,3.406
1.57047,3.599
1.57422,3.518
1.58425,3.349
1.35765,4.156
1.37153,4.199
1.54622,3.701
1.32267,3.948
1.35616,4.036
1.18844,3.507
1.15455,3.573
1.19203,2.661
1.24579,2.705
1.04795,3.037
1.24696,3.534
0.951736,2.098
0.997842,2.164
1.01025,2.169
1.00802,2.42
1.02384,2.34
1.23313,3.598
1.24287,3.735
1.25581,3.59
1.51336,3.741
1.48147,3.627
1.47582,3.561
1.08265,2.931
1.07978,3.083
1.05473,2.221
1.05718,2.36
1.11657,3.142
1.09415,3.031
1.1517,3.17
1.13561,3.136
1.28196,2.662
1.24346,2.594
0.932065,1.898
1.26042,2.92
0.92855,1.929
1.22676,2.749
1.2589,3.078
1.00754,2.684
1.0157,2.794
1.02723,2.665
1.02823,2.836
1.01843,2.438
1.28716,2.995
1.02399,2.077
1.01793,2.128
1.08592,2.794
1.0446,2.378
1.1194,2.652
1.08627,2.679
1.25281,3.664
1.25784,3.774
0.824464,1.77
1.25566,3.622
0.837444,1.682
1.09617,1.955
1.06026,1.99
1.06957,2.189
1.0693,2.07
0.845302,1.672
0.823104,1.496
1.29828,3.313
1.32474,3.069
1.36524,2.827
1.16397,2.977
1.13794,2.989
1.0973,2.907
1.1479,3.209
1.00477,1.172
1.05787,1.284
1.15777,2.218
1.11882,2.214
1.00457,1.281
0.999076,1.246
1.02314,1.367
1.14635,2.077
1.02187,1.407
1.0239,1.388
1.0123,1.224
1.0274,1.333
1.58638,2.344
1.61131,2.517
1.19477,3.155
1.19,3.231
1.17714,2.887
1.53283,2.531
0.99777,3.255
0.939754,2.955
1.47109,2.862
1.1348,2.477
1.31046,3.269
1.11892,2.78
1.34913,3.123
1.26667,3.127
1.2989,2.861
0.884942,0.751
0.880294,0.723
1.36254,2.913
1.3225,3.01
0.88456,0.722
0.877846,0.778
1.19888,2.78
1.19266,2.939
1.15554,3.349
1.28108,3.305
1.30487,3.303
0.896611,0.762
0.863565,0.877
1.27886,4.315
1.30223,4.258
0.850821,0.917
0.87641,0.782
0.993483,1.452
